,Ratings,Reviews
508,3.7,Excellent
509,4,This product is very nice
510,3.7,"Hi Seekers, I am writing this review after 2 weeks of daily use, lets start with pros and cons

Pros-
✓Sounds Quality is good
✓ Bass is good enough
✓ Look is okay as per this price range
✓ All essential controls are provided
✓ Backup is decent

Cons
xx Bluetooth range is too short (even if you are walking by holding phone in your hand you will feel connection disturbances at all times)
xx In case of battery get low it continuously gives you a voice signals in every 2 seconds I found its ver..."
511,3.7,SUPERB and good quality a sound very nice THANK you flipkard
512,4.2,"I hope you guys find this review helpful, well it's too soon for a review but I think it's worth every penny,

Sound - Do not have high expectations for bass atleast, rest of the sound is amazing, you get a clear voice even if it turns a bit windy on roads, songs when played have a clear voice, good for casual song listening, you can watch movies and browse, sound is good even when you play games on phone.

Battery backup - is amazing, I've been using it the whole day, as soon as you put the..."
513,3.6,Premium quality Nack band. Performance is up to the mark. Long life battery backup. Amazing sound clearity. Material is really good. Full functions available for play music and calling. No any disturbance while calling and listening songs. U@I is the best brand from others. I really enjoyed a lot. Highly recommend.
514,4,"This is a short review to clear your basic doubts, i usually don’t write review but i hope this will clear your doubts, As i faced same problem in my mind while ordering it.
1. Product is genuine & completely sealed pack original.
2. If you are thinking to purchase Bluetooth earphones for your iphone then stop! this is for you, the sound quality of these apple earpods is justt fabulous i would give 10 on 10. Better then most of the Bluetooth earphones.
3. Lastly, 1 year warranty is a peace o..."
515,4.1,Awesome product I'm happy to deel this product battery life is too good 48 hours nonstop running and music quality very nice 😍😍🥰🥰🥰🥰
516,4.3,"Amazing sound quality with boosted Bass. But if your r listing music on YouTube then might the sound quality may not that good as u experience on Gaana aap or related music app or music that you have download on your cell phone. Don't worry for that it only differ slightly i.e. unpredictable. Overall you will get owsm sound and bass experiences. Coming to the battery backup it is up to 6hrs + and charges quickly for urgent work.
The build quality is good and has a magnetic end that don't work..."
517,4.1,"The product design is amazing and sound quality is too good"" this is use full of your money 💸"" don't think so it's really awesome product"""" Thank you for reading 😉😉"
518,4.2,"outstanding product best sound, good Bass, clear sound"" good job ""REALME ...👌👌👌"
519,4,It is very good product in the price range. And it looks like apple Air pods. Very cool design and awesome product. The sound is good and build is strong. I say go for it better than any other.
520,4.3,Better
521,3.9,"It's an amazing and fantastic brand, everyone should buy this Bluetooth handsfree
First of its battery is amazing provide atleast more than 36 hours battery backup
Second it's sound quality is also very clear and loud 🔊📢"
522,3.4,Good quality 😊 low price sounds base excellent 👍 realme is good sound is like JBL
523,4.1,"Nice product,😃😃😃"
524,4.2,Good
525,3.4,"Hi Seekers, I am writing this review after 2 weeks of daily use, lets start with pros and cons

Pros-
✓Sounds Quality is good
✓ Bass is good enough
✓ Look is okay as per this price range
✓ All essential controls are provided
✓ Backup is decent

Cons
xx Bluetooth range is too short (even if you are walking by holding phone in your hand you will feel connection disturbances at all times)
xx In case of battery get low it continuously gives you a voice signals in every 2 seconds I found its ver..."
526,3.8,"Why this is a good choice ?
- The price, no other true wireless comes in this range
- True wireless, if you are annoyed using these nasty wired earphones
- Build Quality, Matte finish on both case and ear buds
- Touch Control, yes this is very nice to have at this price point. No more uncomfortable buttons on earbuds.
- And last sound is also okay, don’t expect anything high. These gets the job done. Pretty happy with its sound.

Why not to buy ?
- If you music professional or have some deep ..."
527,4.2,I am using this truke fit 1 plus in-ear true wireless rearbuds from last 3 days and i must say this is one of the best true wireless earbuds available at this price point it has really great battery life.. in last 3 days i have only charged it 2 times. It connects to mobile very easily and fastly. specially it is very comfortable to use. I think u should definitely buy this product at this price range.. I will give this product 10/10 for battery and 9/10 for comfort
528,3.9,The build quality was excellent and the display will help you a lot what is charging percentage is and sound quality was really amazing the bass lovers can enjoy the bass a lot and the charging backup is something around 42hr and the best thing i have liked in this is Type c cable this is really amazing we can't see in many ear pod's with type c charging cable.The best
529,3.9,Premium quality Nack band. Performance is up to the mark. Long life battery backup. Amazing sound clearity. Material is really good. Full functions available for play music and calling. No any disturbance while calling and listening songs. U@I is the best brand from others. I really enjoyed a lot. Highly recommend.
530,4,Good
531,4.1,"excellent sound and bass
very good as compared to boat , ralmee earphones
low cost and good quality
nice design, magnet works properly
packaging box is not good but product is much good
long earphones and suitable also"
532,3.8,Good
533,4.1,"1. Material Quality - Not Bad...
2. Sound Quality - Awesome...
3. Bass - Decent Quality...
4. Battery Backup - Very Good...
5. Design & Bulid Quality - Very nice...
6. Fitting - Oky Type...
Overall very nice and Velue for money product...
Really i love the product...🤩"
534,3.8,"Hello guys i am writing this review after 5 days of extream use... so u can consider my words before buying it :)

build quality :-
{ no problems at all }
gym ✓
walking ✓
running ✓
while sleeping if u change position (X)

connectivity :-
{ excellent }
connectivity range is more than any other neckband in this range. approximately 15-16 meters in a straight line.
but one thing to say... while i am on cycle 🚴 the connection shutters whenever there are obstacles on the road.
may be they will fi..."
535,4.2,"Very Good sound clarity with bass, build quality is good, wire is tangled free , affordable price with good quality ☺ happy with this product."
536,4.1,"I never seen gaming true wireless earbud like this,before.This is an truly amazing earbud.It has very good quality sound and awesome features.If I say about gaming,this buds are specially made for gaming purpose it has very low Latency so you can hear sound while gaming without any delay.Sound quality is very lod and clear and bass quality is very awesome.Just grab it"
537,4.3,"Good quality product.If you will take suggestion from me then you must place the order for NIRUM HBS-730, in this range of price it is the product which I have found on flipcart. The sound quality is fabulous but only one problem that it take 1 hr for full charge and gives only 3 hr enjoyment....
Hope this feedback helped u....."
538,4.6,It is very good product in the price range. And it looks like apple Air pods. Very cool design and awesome product. The sound is good and build is strong. I say go for it better than any other.
539,3.7,Super product
540,3.9,Sound quality and Bass is very good. I'm happy with this product. I heartily recommend you to buy this product without thinking so much .and if you think buy a bluetooth headphones then I suggest you flipkartsmartbuy headphones that's good product in budget headphones.
541,3.5,Combined with Xiaomi's inbuilt audio enhancer these earphones gives the best audio experience ever. Build quality is pretty sturdy and reliable. Overall a great product.
542,4.3,great bass good built don't expect thumping bass it is warm good for bass boosted songs
543,4.1,"Really like these for the price. They sound great and are comfortable in my ears.
I highly recommend this stuff."
544,4.2,"after 30 days of using BOAT ROCKERZ 255 PRO...
[PRO]:
#) Richness and clarity of sound..
#) battery backup is very good..
#) fast charging supports well and 10 -20 min charge can last upto 4-5 hrs of usage..
#) flexible
#) light weight
#) premium build quality
#) Premium looks
#) sweat proof
.
.
[CONS]:
#) bluetooth range slightly lower than 10m
#) disconnects often while in some calls..
#) lags sometimes while playing PUBG..
#) sound is somewhat lower when compared to BOAT ..."
545,3.7,Good quality I'm happy
546,4.1,great bass good built don't expect thumping bass it is warm good for bass boosted songs
547,3.6,It sounds was very nice .... Usefulness njoy tha sounds🥳🥳🥳
548,4.2,"Hi Seekers, I am writing this review after 2 weeks of daily use, lets start with pros and cons

Pros-
✓Sounds Quality is good
✓ Bass is good enough
✓ Look is okay as per this price range
✓ All essential controls are provided
✓ Backup is decent

Cons
xx Bluetooth range is too short (even if you are walking by holding phone in your hand you will feel connection disturbances at all times)
xx In case of battery get low it continuously gives you a voice signals in every 2 seconds I found its ver..."
549,3.7,Very bad product....1 Bluetooth is on and 2 nd Bluetooth not working
550,4.2,It is bad product
551,3.1,"1. Material Quality - Not Bad...
2. Sound Quality - Awesome...
3. Bass - Decent Quality...
4. Battery Backup - Very Good...
5. Design & Bulid Quality - Very nice...
6. Fitting - Oky Type...
Overall very nice and Velue for money product...
Really i love the product...🤩"
552,3.2,Best sound and best quality light weight very comfortable and sweat proof aroma I like it
553,4.2,"Pros,
1. Good neckband at a decent price
2. Bass is more than average if you want thumping bass then download ""Subwoofer bass"" App then use it with neckband, it would be killer...
3.Metallic body.
Cons,
1. Wire is short but that is fine enough.
2. Magnet is not so strong yet it can attract the earbuds.
3. Battery backup is of 2 hours of continuos music and 3 hours for call.
Conclusion:-
If your budget is not enough for buying a branded neckband then go out this. It is good enough than ..."
554,3.9,Product is so good. Quality is very good . I really like this and suggest to other. The brand not matters but quality is the main base . Thanks flipkart for this. COD is also available for this.
555,3.4,Nice products
556,4,Liked the product. Built quality is not tht good but overall ok. Sound quality is ok. BASS won't be as expected. Battery backup is very good average 2-3 days depend on your use. A decent product with nice feature.
557,3.5,Awesome product I'm happy to deel this product battery life is too good 48 hours nonstop running and music quality very nice 😍😍🥰🥰🥰🥰
558,4.1,Very awesome as I received as expected. Same as shown in pic. Nice design and good sound quality. Bass is also good. Calling feature is very superb. Voice not interrupted while calling. Overall good product in this price. Please go for it. Must buy😊. Thanks Flipkart😍
559,4.1,"awesome products, battery life is not that great but charge really fast and sound is so great I love these I'm gonna another one for myself."
560,3.4,"It is my first Bluetooth bud experience. I will say quality and comfort at this price point are truly okay. These are my initial observations.

Pros :
1. Product does not appear cheap. They have maintained the quality as good as their product description.
2. Buds are soft in the ear, do not hurt if you keep them for a longer period.
3. Pairing and unpairing are fast.
4. Bud box is really gorgeous, wanted blue but got the black one.
5. Playing Music and show experience was good. Full volume wo..."
561,3.7,"Very Good sound clarity with bass, build quality is good, wire is tangled free , affordable price with good quality ☺ happy with this product."
562,3.3,"I hope you guys find this review helpful, well it's too soon for a review but I think it's worth every penny,

Sound - Do not have high expectations for bass atleast, rest of the sound is amazing, you get a clear voice even if it turns a bit windy on roads, songs when played have a clear voice, good for casual song listening, you can watch movies and browse, sound is good even when you play games on phone.

Battery backup - is amazing, I've been using it the whole day, as soon as you put the..."
563,4.3,"Fist thing which i want to make clear that dont make a false mindset about this buds without using it.
this buds are so beautiful, not just in desing , but in all format , whether it is sound or battery backup , oppo have done very good job to make it so simple but supper in performance. Here are few things which i felt by using it.
1 battery 🔋 is supperrrr
2 sounds so balanced ( not so overpowered)
3 good built quality
4 bass is there but in Balanced ammount ( u will definitely love it)
5..."
564,4,This collar earphones is really good in sound quality as well as in material. Also the sound and bass is really good. I enjoy remix songs in high volume. My brother also like it. Fits well in my ear. Very comfortable to wear.
565,4.2,Hi very good producet
566,3.9,Very good product sound is good and battery service is very Good cost is good I am so happy
567,4,Awsome service by flipkart... Got delivery with in 11 hours of booking.. Proud user of flipkart.. thanxs team... Product is also good.. and valuable for that amount... Love flipkart...
568,4.1,It's a terrific purchase for the price.updaye after 8 months and still works perfectly fine
569,4,Both product's are Supebbbbb.
570,4,Very nice I'm so happy
571,3.5,I am very happy with this product. The U&I Titanic series sports neckband is just awesome. The sound and bass is too good. It has also very good battery life and I haven't charged it since 3 days and more to go. It is comfortable to wear and has perfect sound quality. I had an excellent experience of this neckband. It is also economical. A must buy for all.
572,4.2,"Great sound quality and compact design, the charging/storage case is super chic black and glossy. Once it is fully charged it give 24hrs back up. Mic quality is laso great and to activate Google assistant you just need to tap thrice on any pod."
573,4,great bass good built don't expect thumping bass it is warm good for bass boosted songs
574,3.9,"Hi Seekers, I am writing this review after 2 weeks of daily use, lets start with pros and cons

Pros-
✓Sounds Quality is good
✓ Bass is good enough
✓ Look is okay as per this price range
✓ All essential controls are provided
✓ Backup is decent

Cons
xx Bluetooth range is too short (even if you are walking by holding phone in your hand you will feel connection disturbances at all times)
xx In case of battery get low it continuously gives you a voice signals in every 2 seconds I found its ver..."
575,4.2,"Sound, Bass and Voice clearity is ok ,build quality is looking awesome looking stylish and awesome but in the box mentioned that is 30h battery backup but not at least, it's takes 20 to 24 hours battery backup it's okk"
576,4.2,Great product sound quality bass and clear sound through mic is good. Price also fully satisfied in terms. Good packaging and best parfomation
577,4,"My review after 4 months
Sound Quality,
Build quality of Earphones,
wires of earphones are flexible, tough,durable,
I suggest to buy this Earphones they are Awesome in this price segment and JBL is just Awesome to provide Earphones in such a nice mid range price with good quality products with Mic
The quality of mic is also very good in this price segment
I buy them in Flapkart Big Billion Days Sell"
578,3.8,Good product for this value . Only the thing is that the sound it comes 1second late so please take look for that and make it perfect but it is good for this value
579,4.2,"I AM GIVING REVIEW HONESTLY AFTER USING 4 DAYS-
MY REVIEW IS ONLY FOR MUSIC LISTENERS NOT FOR GAMERS.

1. BUDS SOUND QUALITY IS CRYSTAL CLEAR AND VOICE IS TOO CLEAR.
2. THE SMALL INSTRUMENTS MUSIC ARE LISTENING VERY GOOD.
3. DRIVER SIZE IS 11MM BUT BASS QUALITY IS NOT UPTO THE MARK ON SIMPLE MUSIC PLAYERS.
4. USE POWERAMP MUSIC PLAYER FOR BEST BASS EXPERIENCE.
5. GREAT STEREO EXPERIENCE.
6. THE BUDS CASE IS VERY GLOSSY AND GETTING SCRATCHES VERY QUICKLY.
7. ONLY ONE INDICATOR LIGHT IS..."
580,3.7,"This is value for money product.
Personally, I like the sound quality... Bass and treble is really good...
Just we need to fix it properly in ear else it will skid off...
Overall I love this product..."
581,4.1,Nice product and sound is to good value for money 💰💰💰💰 and I'm very happy and thank you Flipkart
582,4,Best in looks and and design and sound quality is really nice and impressive I like it
583,3.4,Excellent
584,4.1,These airpods are too good and the sound is very clear and good I use these airpods almost 4hours
585,3.7,"Nice product at this price point
Now my review is -
@ Sound quality is very good .
@ Voice of call receiving & out going is really very good & noise cancellation is also working well, i hv checked this function in very high db sound area.
@ Looks- very small & pretty
@ Connectivity - just open the lid, both ear buds connected with mobile & easy to connect with any bluetooth music system.
@ battery backup is good 5hrs last
@ At last- fantastic for this price tag. i am happy"
586,3.7,Sound is more in right side earbud and very less in left side. I also made a replacement order but problem remained the same. I think this is manufacturing defect. Di not buy this earphone at all.
587,4,This product is very nice
588,4.1,"Hi Seekers, I am writing this review after 2 weeks of daily use, lets start with pros and cons

Pros-
✓Sounds Quality is good
✓ Bass is good enough
✓ Look is okay as per this price range
✓ All essential controls are provided
✓ Backup is decent

Cons
xx Bluetooth range is too short (even if you are walking by holding phone in your hand you will feel connection disturbances at all times)
xx In case of battery get low it continuously gives you a voice signals in every 2 seconds I found its ver..."
589,3.7,SUPERB and good quality a sound very nice THANK you flipkard
590,4.2,"I hope you guys find this review helpful, well it's too soon for a review but I think it's worth every penny,

Sound - Do not have high expectations for bass atleast, rest of the sound is amazing, you get a clear voice even if it turns a bit windy on roads, songs when played have a clear voice, good for casual song listening, you can watch movies and browse, sound is good even when you play games on phone.

Battery backup - is amazing, I've been using it the whole day, as soon as you put the..."
591,3.6,Premium quality Nack band. Performance is up to the mark. Long life battery backup. Amazing sound clearity. Material is really good. Full functions available for play music and calling. No any disturbance while calling and listening songs. U@I is the best brand from others. I really enjoyed a lot. Highly recommend.
592,4,"This is a short review to clear your basic doubts, i usually don’t write review but i hope this will clear your doubts, As i faced same problem in my mind while ordering it.
1. Product is genuine & completely sealed pack original.
2. If you are thinking to purchase Bluetooth earphones for your iphone then stop! this is for you, the sound quality of these apple earpods is justt fabulous i would give 10 on 10. Better then most of the Bluetooth earphones.
3. Lastly, 1 year warranty is a peace o..."
593,4.1,Awesome product I'm happy to deel this product battery life is too good 48 hours nonstop running and music quality very nice 😍😍🥰🥰🥰🥰
594,4.3,"Amazing sound quality with boosted Bass. But if your r listing music on YouTube then might the sound quality may not that good as u experience on Gaana aap or related music app or music that you have download on your cell phone. Don't worry for that it only differ slightly i.e. unpredictable. Overall you will get owsm sound and bass experiences. Coming to the battery backup it is up to 6hrs + and charges quickly for urgent work.
The build quality is good and has a magnetic end that don't work..."
595,4.1,"The product design is amazing and sound quality is too good"" this is use full of your money 💸"" don't think so it's really awesome product"""" Thank you for reading 😉😉"
596,4.2,"outstanding product best sound, good Bass, clear sound"" good job ""REALME ...👌👌👌"
597,4,It is very good product in the price range. And it looks like apple Air pods. Very cool design and awesome product. The sound is good and build is strong. I say go for it better than any other.
598,4.3,Better
599,3.9,"It's an amazing and fantastic brand, everyone should buy this Bluetooth handsfree
First of its battery is amazing provide atleast more than 36 hours battery backup
Second it's sound quality is also very clear and loud 🔊📢"
600,3.4,Good quality 😊 low price sounds base excellent 👍 realme is good sound is like JBL
601,4.1,"Nice product,😃😃😃"
602,4.2,Good
603,3.4,"Hi Seekers, I am writing this review after 2 weeks of daily use, lets start with pros and cons

Pros-
✓Sounds Quality is good
✓ Bass is good enough
✓ Look is okay as per this price range
✓ All essential controls are provided
✓ Backup is decent

Cons
xx Bluetooth range is too short (even if you are walking by holding phone in your hand you will feel connection disturbances at all times)
xx In case of battery get low it continuously gives you a voice signals in every 2 seconds I found its ver..."
604,3.8,"Why this is a good choice ?
- The price, no other true wireless comes in this range
- True wireless, if you are annoyed using these nasty wired earphones
- Build Quality, Matte finish on both case and ear buds
- Touch Control, yes this is very nice to have at this price point. No more uncomfortable buttons on earbuds.
- And last sound is also okay, don’t expect anything high. These gets the job done. Pretty happy with its sound.

Why not to buy ?
- If you music professional or have some deep ..."
605,4.2,I am using this truke fit 1 plus in-ear true wireless rearbuds from last 3 days and i must say this is one of the best true wireless earbuds available at this price point it has really great battery life.. in last 3 days i have only charged it 2 times. It connects to mobile very easily and fastly. specially it is very comfortable to use. I think u should definitely buy this product at this price range.. I will give this product 10/10 for battery and 9/10 for comfort
606,3.9,The build quality was excellent and the display will help you a lot what is charging percentage is and sound quality was really amazing the bass lovers can enjoy the bass a lot and the charging backup is something around 42hr and the best thing i have liked in this is Type c cable this is really amazing we can't see in many ear pod's with type c charging cable.The best
607,3.9,Premium quality Nack band. Performance is up to the mark. Long life battery backup. Amazing sound clearity. Material is really good. Full functions available for play music and calling. No any disturbance while calling and listening songs. U@I is the best brand from others. I really enjoyed a lot. Highly recommend.
608,4,Good
609,4.1,"excellent sound and bass
very good as compared to boat , ralmee earphones
low cost and good quality
nice design, magnet works properly
packaging box is not good but product is much good
long earphones and suitable also"
610,3.8,Good
611,4.1,"1. Material Quality - Not Bad...
2. Sound Quality - Awesome...
3. Bass - Decent Quality...
4. Battery Backup - Very Good...
5. Design & Bulid Quality - Very nice...
6. Fitting - Oky Type...
Overall very nice and Velue for money product...
Really i love the product...🤩"
612,3.8,"Hello guys i am writing this review after 5 days of extream use... so u can consider my words before buying it :)

build quality :-
{ no problems at all }
gym ✓
walking ✓
running ✓
while sleeping if u change position (X)

connectivity :-
{ excellent }
connectivity range is more than any other neckband in this range. approximately 15-16 meters in a straight line.
but one thing to say... while i am on cycle 🚴 the connection shutters whenever there are obstacles on the road.
may be they will fi..."
613,4.2,"Very Good sound clarity with bass, build quality is good, wire is tangled free , affordable price with good quality ☺ happy with this product."
614,4.1,"I never seen gaming true wireless earbud like this,before.This is an truly amazing earbud.It has very good quality sound and awesome features.If I say about gaming,this buds are specially made for gaming purpose it has very low Latency so you can hear sound while gaming without any delay.Sound quality is very lod and clear and bass quality is very awesome.Just grab it"
615,4.3,"Good quality product.If you will take suggestion from me then you must place the order for NIRUM HBS-730, in this range of price it is the product which I have found on flipcart. The sound quality is fabulous but only one problem that it take 1 hr for full charge and gives only 3 hr enjoyment....
Hope this feedback helped u....."
616,4.6,It is very good product in the price range. And it looks like apple Air pods. Very cool design and awesome product. The sound is good and build is strong. I say go for it better than any other.
617,3.7,Super product
618,3.9,Sound quality and Bass is very good. I'm happy with this product. I heartily recommend you to buy this product without thinking so much .and if you think buy a bluetooth headphones then I suggest you flipkartsmartbuy headphones that's good product in budget headphones.
619,3.5,Combined with Xiaomi's inbuilt audio enhancer these earphones gives the best audio experience ever. Build quality is pretty sturdy and reliable. Overall a great product.
620,4.3,great bass good built don't expect thumping bass it is warm good for bass boosted songs
621,4.1,"Really like these for the price. They sound great and are comfortable in my ears.
I highly recommend this stuff."
622,4.2,"after 30 days of using BOAT ROCKERZ 255 PRO...
[PRO]:
#) Richness and clarity of sound..
#) battery backup is very good..
#) fast charging supports well and 10 -20 min charge can last upto 4-5 hrs of usage..
#) flexible
#) light weight
#) premium build quality
#) Premium looks
#) sweat proof
.
.
[CONS]:
#) bluetooth range slightly lower than 10m
#) disconnects often while in some calls..
#) lags sometimes while playing PUBG..
#) sound is somewhat lower when compared to BOAT ..."
623,3.7,Good quality I'm happy
624,4.1,great bass good built don't expect thumping bass it is warm good for bass boosted songs
625,3.6,It sounds was very nice .... Usefulness njoy tha sounds🥳🥳🥳
626,4.2,"Hi Seekers, I am writing this review after 2 weeks of daily use, lets start with pros and cons

Pros-
✓Sounds Quality is good
✓ Bass is good enough
✓ Look is okay as per this price range
✓ All essential controls are provided
✓ Backup is decent

Cons
xx Bluetooth range is too short (even if you are walking by holding phone in your hand you will feel connection disturbances at all times)
xx In case of battery get low it continuously gives you a voice signals in every 2 seconds I found its ver..."
627,3.7,Very bad product....1 Bluetooth is on and 2 nd Bluetooth not working
628,4.2,It is bad product
629,3.1,"1. Material Quality - Not Bad...
2. Sound Quality - Awesome...
3. Bass - Decent Quality...
4. Battery Backup - Very Good...
5. Design & Bulid Quality - Very nice...
6. Fitting - Oky Type...
Overall very nice and Velue for money product...
Really i love the product...🤩"
630,3.2,Best sound and best quality light weight very comfortable and sweat proof aroma I like it
631,4.2,"Pros,
1. Good neckband at a decent price
2. Bass is more than average if you want thumping bass then download ""Subwoofer bass"" App then use it with neckband, it would be killer...
3.Metallic body.
Cons,
1. Wire is short but that is fine enough.
2. Magnet is not so strong yet it can attract the earbuds.
3. Battery backup is of 2 hours of continuos music and 3 hours for call.
Conclusion:-
If your budget is not enough for buying a branded neckband then go out this. It is good enough than ..."
632,3.9,Product is so good. Quality is very good . I really like this and suggest to other. The brand not matters but quality is the main base . Thanks flipkart for this. COD is also available for this.
633,3.4,Nice products
634,4,Liked the product. Built quality is not tht good but overall ok. Sound quality is ok. BASS won't be as expected. Battery backup is very good average 2-3 days depend on your use. A decent product with nice feature.
635,3.5,Awesome product I'm happy to deel this product battery life is too good 48 hours nonstop running and music quality very nice 😍😍🥰🥰🥰🥰
636,4.1,Very awesome as I received as expected. Same as shown in pic. Nice design and good sound quality. Bass is also good. Calling feature is very superb. Voice not interrupted while calling. Overall good product in this price. Please go for it. Must buy😊. Thanks Flipkart😍
637,4.1,"awesome products, battery life is not that great but charge really fast and sound is so great I love these I'm gonna another one for myself."
638,3.4,"It is my first Bluetooth bud experience. I will say quality and comfort at this price point are truly okay. These are my initial observations.

Pros :
1. Product does not appear cheap. They have maintained the quality as good as their product description.
2. Buds are soft in the ear, do not hurt if you keep them for a longer period.
3. Pairing and unpairing are fast.
4. Bud box is really gorgeous, wanted blue but got the black one.
5. Playing Music and show experience was good. Full volume wo..."
639,3.7,"Very Good sound clarity with bass, build quality is good, wire is tangled free , affordable price with good quality ☺ happy with this product."
640,3.3,"I hope you guys find this review helpful, well it's too soon for a review but I think it's worth every penny,

Sound - Do not have high expectations for bass atleast, rest of the sound is amazing, you get a clear voice even if it turns a bit windy on roads, songs when played have a clear voice, good for casual song listening, you can watch movies and browse, sound is good even when you play games on phone.

Battery backup - is amazing, I've been using it the whole day, as soon as you put the..."
641,4.3,"Fist thing which i want to make clear that dont make a false mindset about this buds without using it.
this buds are so beautiful, not just in desing , but in all format , whether it is sound or battery backup , oppo have done very good job to make it so simple but supper in performance. Here are few things which i felt by using it.
1 battery 🔋 is supperrrr
2 sounds so balanced ( not so overpowered)
3 good built quality
4 bass is there but in Balanced ammount ( u will definitely love it)
5..."
642,4,This collar earphones is really good in sound quality as well as in material. Also the sound and bass is really good. I enjoy remix songs in high volume. My brother also like it. Fits well in my ear. Very comfortable to wear.
643,4.2,Hi very good producet
644,3.9,Very good product sound is good and battery service is very Good cost is good I am so happy
645,4,Awsome service by flipkart... Got delivery with in 11 hours of booking.. Proud user of flipkart.. thanxs team... Product is also good.. and valuable for that amount... Love flipkart...
646,4.1,It's a terrific purchase for the price.updaye after 8 months and still works perfectly fine
647,4,Both product's are Supebbbbb.
648,4,Very nice I'm so happy
649,3.5,I am very happy with this product. The U&I Titanic series sports neckband is just awesome. The sound and bass is too good. It has also very good battery life and I haven't charged it since 3 days and more to go. It is comfortable to wear and has perfect sound quality. I had an excellent experience of this neckband. It is also economical. A must buy for all.
650,4.2,"Great sound quality and compact design, the charging/storage case is super chic black and glossy. Once it is fully charged it give 24hrs back up. Mic quality is laso great and to activate Google assistant you just need to tap thrice on any pod."
651,4,great bass good built don't expect thumping bass it is warm good for bass boosted songs
652,3.9,"Hi Seekers, I am writing this review after 2 weeks of daily use, lets start with pros and cons

Pros-
✓Sounds Quality is good
✓ Bass is good enough
✓ Look is okay as per this price range
✓ All essential controls are provided
✓ Backup is decent

Cons
xx Bluetooth range is too short (even if you are walking by holding phone in your hand you will feel connection disturbances at all times)
xx In case of battery get low it continuously gives you a voice signals in every 2 seconds I found its ver..."
653,4.2,"Sound, Bass and Voice clearity is ok ,build quality is looking awesome looking stylish and awesome but in the box mentioned that is 30h battery backup but not at least, it's takes 20 to 24 hours battery backup it's okk"
654,4.2,Beautiful product 🥰🔥
655,4,"My review after 4 months
Sound Quality,
Build quality of Earphones,
wires of earphones are flexible, tough,durable,
I suggest to buy this Earphones they are Awesome in this price segment and JBL is just Awesome to provide Earphones in such a nice mid range price with good quality products with Mic
The quality of mic is also very good in this price segment
I buy them in Flapkart Big Billion Days Sell"
656,4,Good product for this value . Only the thing is that the sound it comes 1second late so please take look for that and make it perfect but it is good for this value
657,4.2,"I AM GIVING REVIEW HONESTLY AFTER USING 4 DAYS-
MY REVIEW IS ONLY FOR MUSIC LISTENERS NOT FOR GAMERS.

1. BUDS SOUND QUALITY IS CRYSTAL CLEAR AND VOICE IS TOO CLEAR.
2. THE SMALL INSTRUMENTS MUSIC ARE LISTENING VERY GOOD.
3. DRIVER SIZE IS 11MM BUT BASS QUALITY IS NOT UPTO THE MARK ON SIMPLE MUSIC PLAYERS.
4. USE POWERAMP MUSIC PLAYER FOR BEST BASS EXPERIENCE.
5. GREAT STEREO EXPERIENCE.
6. THE BUDS CASE IS VERY GLOSSY AND GETTING SCRATCHES VERY QUICKLY.
7. ONLY ONE INDICATOR LIGHT IS..."
658,3.7,Great product sound quality bass and clear sound through mic is good. Price also fully satisfied in terms. Good packaging and best parfomation
659,4.1,"This is value for money product.
Personally, I like the sound quality... Bass and treble is really good...
Just we need to fix it properly in ear else it will skid off...
Overall I love this product..."
660,3.8,Nice product and sound is to good value for money 💰💰💰💰 and I'm very happy and thank you Flipkart
661,4,Best in looks and and design and sound quality is really nice and impressive I like it
662,3.4,"First thing mivi collar 2A neckband is fully made in india,so I bought.
It's really amazing mivi neckband. Sound clarity is very good during phone calls. Bass is like dhinchuk dhinchuk😀😀
Battery backup approximately same as that company claim..
Overall this mivi collar 2A neck band is best at this price.."
663,4.1,"outstanding product best sound, good Bass, clear sound"" good job ""REALME ...👌👌👌"
664,3.8,These airpods are too good and the sound is very clear and good I use these airpods almost 4hours
665,4.3,"Nice product at this price point
Now my review is -
@ Sound quality is very good .
@ Voice of call receiving & out going is really very good & noise cancellation is also working well, i hv checked this function in very high db sound area.
@ Looks- very small & pretty
@ Connectivity - just open the lid, both ear buds connected with mobile & easy to connect with any bluetooth music system.
@ battery backup is good 5hrs last
@ At last- fantastic for this price tag. i am happy"
666,3.7,Excellent
667,4,This product is very nice
668,3.7,"Hi Seekers, I am writing this review after 2 weeks of daily use, lets start with pros and cons

Pros-
✓Sounds Quality is good
✓ Bass is good enough
✓ Look is okay as per this price range
✓ All essential controls are provided
✓ Backup is decent

Cons
xx Bluetooth range is too short (even if you are walking by holding phone in your hand you will feel connection disturbances at all times)
xx In case of battery get low it continuously gives you a voice signals in every 2 seconds I found its ver..."
669,3.7,SUPERB and good quality a sound very nice THANK you flipkard
670,4.2,"I hope you guys find this review helpful, well it's too soon for a review but I think it's worth every penny,

Sound - Do not have high expectations for bass atleast, rest of the sound is amazing, you get a clear voice even if it turns a bit windy on roads, songs when played have a clear voice, good for casual song listening, you can watch movies and browse, sound is good even when you play games on phone.

Battery backup - is amazing, I've been using it the whole day, as soon as you put the..."
671,3.6,Premium quality Nack band. Performance is up to the mark. Long life battery backup. Amazing sound clearity. Material is really good. Full functions available for play music and calling. No any disturbance while calling and listening songs. U@I is the best brand from others. I really enjoyed a lot. Highly recommend.
